#0
#2
#4
#6
#8
#10
#12
#14
#16
#18
#20
#22
#24
#26
#28
#30
#32
#34
34054,53215491,31,52
34066,53149877,31,62
34075,53215502,31,65
34087,942407913,31,55
34096,53149877,31,52
34108,53215491,31,66
34120,939720937,31,67
34135,53215491,31,53
34144,53149877,31,60
34156,53215502,31,66
34174,53215491,31,52
34186,53149877,31,62
34195,942407913,31,63
34207,939720937,31,54
34219,53149877,31,55
34228,53215502,31,58
34240,53215491,31,78
34255,53215491,31,53
34264,53149877,31,60
34285,942407913,31,53
34294,53215491,31,52
34306,53149877,31,62
34318,53215502,31,68
34327,939720937,31,74
34339,53149877,31,55
34351,53215491,31,69
34375,53215491,31,53
34384,53149877,31,60
34396,53215502,31,66
34408,942407913,31,76
34417,53149877,31,53
34429,939720937,31,76
34441,53215491,31,79
34453,53215491,31,51
34465,53149877,31,61
34477,53215502,31,67
34486,942407913,31,54
34498,53149877,31,54
34510,53215491,31,68
34519,939720937,31,66
34534,53215491,31,52
34546,53149877,31,62
34555,53215502,31,65
34573,53215491,31,51
34585,53149877,31,61
34597,942407913,31,65
34606,939720937,31,53
34618,53149877,31,54
34630,53215502,31,60
34639,53215491,31,77
34654,53215491,31,52
34666,53149877,31,62
34684,942407913,31,52
34696,53215491,31,54
34705,53149877,31,61
34717,53215502,31,67
34729,939720937,31,76
34738,53149877,31,54
34750,53215491,31,68
34774,53215491,31,52
34786,53149877,31,62
34795,53215502,31,65
34807,942407913,31,75
34819,53149877,31,55
34828,939720937,31,75
34840,53215491,31,78
34855,53215491,31,53
34864,53149877,31,60
34876,53215502,31,66
34888,942407913,31,56
34897,53149877,31,53
34909,53215491,31,67
34921,939720937,31,68
34933,53215491,31,51
34945,53149877,31,61
34957,53215502,31,67
34975,53215491,31,53
34984,53149877,31,60
34996,942407913,31,64
35001,891224113,28,5
35008,939720937,31,55
35017,53149877,31,53
35029,53215502,31,59
35044,53215491,31,82
35053,53215491,31,51
35065,53149877,31,61
35083,942407913,31,51
35095,53215491,31,53
35107,53149877,31,63
35116,53215502,31,66
35128,939720937,31,75
35137,53149877,31,53
35149,53215491,31,67
35173,53215491,31,51
35185,53149877,31,61
35197,53215502,31,67
35206,942407913,31,74
35218,53149877,31,54
35230,939720937,31,77
35239,53215491,31,77
35263,53149877,31,59
35275,53215502,31,65
35287,53215491,31,85
35296,53149877,31,52
35308,942407913,31,76
35320,53215491,31,78
35329,939720937,31,76
35341,53149877,31,57
35353,53215502,31,63
35362,53215491,31,80
35374,53215491,31,52
35386,53149877,31,62
35395,942407913,31,63
35407,939720937,31,54
35419,53149877,31,55
35428,53215502,31,58
35440,53215491,31,78
35455,53215491,31,53
35464,53149877,31,60
35485,942407913,31,53
35494,53215491,31,52
35506,53149877,31,62
35518,53215502,31,68
35527,939720937,31,74
35539,53149877,31,55
35551,53215491,31,69
